CustomerID,Age,Income,Location,EmploymentStatus,LoanAmount,TenureMonths,InterestRate,LoanType,MissedPayments,DelaysDays,PartialPayments,InteractionAttempts,SentimentScore,ResponseTimeHours,AppUsageFrequency,WebsiteVisits,Complaints,Target
CUST0001,59,1121522,Suburban,Self-Employed,985115,7,13.6,Business,3,151,2,2,-0.74,17.94,0.52,19,0,1
CUST0002,49,1784166,Urban,Student,717304,34,14.38,Education,2,47,1,2,-0.77,60.48,0.76,14,2,1
CUST0003,35,1053938,Rural,Student,889319,9,9.61,Personal,3,68,1,9,-0.9,27.38,0.33,32,0,1
CUST0004,63,1814021,Urban,Student,655730,6,9.2,Business,3,169,4,1,0.13,38.55,0.38,16,0,1
CUST0005,28,1827781,Suburban,Self-Employed,99847,24,12.87,Personal,2,118,2,0,-0.51,67.85,0.93,19,0,0
CUST0006,41,1472386,Urban,Salaried,108653,31,10.16,Auto,2,44,2,9,0.47,49.21,0.21,12,2,1
CUST0007,59,1345222,Suburban,Salaried,791432,30,7.24,Education,4,124,2,0,0.37,46.66,0.1,43,1,1
CUST0008,39,545266,Suburban,Self-Employed,827949,15,8.9,Personal,1,13,2,3,-0.36,51.38,0.34,23,0,0
CUST0009,43,1738601,Rural,Salaried,368766,58,10.06,Business,1,156,2,2,-0.65,66.14,0.75,46,1,0
CUST0010,31,680703,Suburban,Self-Employed,339954,20,8.99,Auto,2,133,0,4,-0.8,18.27,0.63,36,0,0
CUST0011,31,1174323,Suburban,Salaried,127842,27,9.32,Auto,1,134,1,8,0.47,44.35,0.42,6,0,0
CUST0012,44,543054,Rural,Unemployed,958657,56,9,Business,3,36,1,7,-0.1,29.13,0.96,7,0,1
CUST0013,56,1106862,Suburban,Unemployed,322647,53,6.85,Business,3,52,2,8,-0.35,1.35,0.73,22,0,0
CUST0014,60,1516128,Rural,Self-Employed,134761,26,11.92,Personal,4,17,1,4,0.71,9.46,0.06,13,1,1
CUST0015,44,1307955,Rural,Salaried,480192,27,11.58,Home,1,37,1,7,0.19,23.74,0.74,3,0,0
CUST0016,23,1273629,Suburban,Student,962871,41,12.05,Auto,1,128,1,3,0.04,40.9,0.02,20,0,0
CUST0017,42,1651238,Suburban,Salaried,848022,39,8.13,Personal,1,43,1,4,0.49,63.53,0.65,45,2,1
CUST0018,22,1904858,Urban,Unemployed,566637,35,9.01,Business,1,46,1,2,0.63,57.06,0.21,9,0,0
CUST0019,44,298723,Rural,Unemployed,716246,30,11.77,Personal,2,34,0,4,0.37,40.06,0.7,21,1,1
CUST0020,64,775644,Urban,Salaried,980370,50,11.6,Business,0,59,3,2,-0.12,5.78,0.31,29,2,1
CUST0021,50,1521509,Suburban,Salaried,378768,33,10.8,Education,1,89,3,4,-0.24,20.94,0.87,29,0,0
CUST0022,58,1053088,Urban,Student,738152,6,9.48,Business,2,51,3,4,0.54,26.72,0.34,15,0,1
CUST0023,22,1280730,Rural,Student,452980,54,14.26,Business,4,7,0,5,0.04,44.95,0.62,10,0,1
CUST0024,41,1462518,Urban,Salaried,831198,50,9.39,Business,0,106,0,8,0.41,5.14,0.29,21,0,0
CUST0025,53,464480,Rural,Salaried,170356,9,10.37,Home,0,168,0,0,0.78,38.41,0.92,28,1,0
CUST0026,32,1614397,Suburban,Salaried,267228,12,12.26,Business,1,130,1,9,0.83,64.95,0.78,24,1,0
CUST0027,42,481173,Suburban,Salaried,92727,54,11.12,Auto,1,141,0,5,-0.44,50.94,0.24,13,1,1
CUST0028,64,1045633,Rural,Self-Employed,390615,14,9.45,Auto,4,95,0,0,-0.62,57.49,0.95,13,0,0
CUST0029,45,1280841,Suburban,Salaried,582356,41,10.2,Personal,2,25,0,5,-0.48,49.24,0.36,1,0,0
CUST0030,47,1613636,Suburban,Student,691211,24,13.25,Home,2,110,0,1,0.5,15.27,0.65,12,0,0
CUST0031,62,1491898,Suburban,Unemployed,450511,6,8.86,Personal,2,122,2,7,-0.26,8.4,0.74,2,1,1
CUST0032,48,1234057,Suburban,Self-Employed,484376,15,7.71,Auto,5,167,1,2,-0.65,59.81,0.02,29,0,0
CUST0033,36,1423520,Rural,Salaried,61390,41,9.16,Auto,3,50,0,9,-0.8,50.23,0.96,17,0,1
CUST0034,35,1819061,Urban,Unemployed,681040,14,13.72,Education,4,122,2,5,-0.35,41.62,0.34,35,1,1
CUST0035,64,1696972,Urban,Self-Employed,987635,50,7.26,Business,3,4,1,5,-0.73,14.03,0.19,20,0,0
CUST0036,23,1403358,Suburban,Unemployed,406898,51,14.93,Auto,0,76,3,3,-0.69,43.64,0.85,18,0,1
CUST0037,57,1933422,Urban,Salaried,388113,47,11.1,Personal,3,159,3,4,0.37,2.74,0.7,15,0,0
CUST0038,27,1320483,Urban,Salaried,720398,37,14.87,Personal,2,0,3,1,-0.96,9,0.09,27,1,0
CUST0039,41,402967,Suburban,Student,799078,37,14.48,Business,3,10,2,9,-0.76,22.8,0.12,3,1,0
CUST0040,29,1551351,Suburban,Salaried,389208,11,10.35,Business,3,7,2,9,0.69,32.23,0.72,14,0,0
CUST0041,59,1639758,Urban,Salaried,71281,53,8.19,Education,1,152,1,7,0.69,9.12,0.07,0,0,0
CUST0042,38,1530823,Rural,Self-Employed,104189,43,7.9,Home,1,167,4,9,-0.34,9.08,0.92,47,0,0
CUST0043,24,264772,Suburban,Student,312093,22,8.54,Personal,4,31,1,6,-0.82,52.4,0.74,46,1,1
CUST0044,45,326108,Rural,Self-Employed,360655,15,12.54,Business,0,27,0,9,0.41,41.23,0.34,15,1,0
CUST0045,34,1262958,Urban,Unemployed,696403,55,8.82,Personal,2,130,3,5,-0.28,38.66,0.36,19,2,1
CUST0046,29,1332867,Suburban,Salaried,582893,32,9.4,Business,3,127,0,6,-0.91,32.85,0.51,32,0,0
CUST0047,46,563339,Rural,Unemployed,412462,59,10.31,Auto,1,61,1,0,-0.68,70.32,0.36,16,2,1
CUST0048,22,1907692,Suburban,Self-Employed,444597,55,14.26,Personal,0,26,0,4,-0.73,4.06,0.78,4,0,0
CUST0049,40,1531329,Urban,Salaried,856242,40,8.11,Auto,3,44,2,6,0.18,13.41,0.97,4,0,0
CUST0050,48,347550,Rural,Salaried,299415,57,6.54,Personal,2,104,1,0,0.8,46.8,0.58,38,0,1
CUST0051,27,1480626,Urban,Self-Employed,729682,26,7.01,Home,1,91,1,1,0.59,10.25,0.45,12,0,1
CUST0052,64,632882,Urban,Self-Employed,91869,30,14.19,Education,2,24,0,8,0.09,42.64,0.22,43,0,0
CUST0053,28,537827,Suburban,Self-Employed,607243,33,12,Auto,1,43,2,2,-0.16,41.09,0.65,35,1,0
CUST0054,55,1247843,Rural,Self-Employed,635676,52,8.82,Business,0,173,0,5,0.24,69.93,0.69,29,1,1
CUST0055,34,1740889,Urban,Self-Employed,815612,20,8.01,Home,2,141,0,6,-0.11,63.66,0.69,3,1,1
CUST0056,37,1635434,Urban,Salaried,60207,9,9,Personal,0,135,0,8,-0.51,68.11,0.03,22,1,0
CUST0057,56,1903194,Rural,Self-Employed,268401,34,7.48,Auto,3,175,1,4,0.36,8.62,0.9,20,0,0
CUST0058,60,795603,Urban,Salaried,209292,14,14.5,Personal,2,141,0,3,0.75,62.57,0.34,20,1,1
CUST0059,24,588349,Urban,Salaried,527266,32,13.17,Personal,4,79,2,1,-0.25,9.73,0.74,5,0,0
CUST0060,22,1262729,Rural,Self-Employed,546762,31,10.43,Personal,1,81,2,2,0.68,45.75,0.76,23,0,0
CUST0061,26,1226919,Rural,Self-Employed,255157,24,13.85,Education,0,134,1,4,-0.14,51.99,0.65,46,1,0
CUST0062,62,1849189,Rural,Student,72031,33,8.62,Education,0,87,0,1,-0.2,12,0.39,30,1,0
CUST0063,24,1489349,Rural,Salaried,513937,22,12.6,Business,4,176,0,3,-0.94,45.74,0.61,18,0,0
CUST0064,49,1303894,Suburban,Self-Employed,917239,48,13.78,Auto,0,126,1,0,0.39,4.25,0.04,37,1,1
CUST0065,38,594030,Rural,Self-Employed,645600,46,9.53,Home,5,54,0,3,0.62,21.47,0.76,11,1,1
CUST0066,46,1625753,Suburban,Self-Employed,634054,47,12.94,Home,0,140,1,6,0.33,66.36,0.1,13,0,1
CUST0067,64,276077,Suburban,Student,193521,55,9.01,Home,3,55,0,2,-0.7,12.78,0.4,49,0,0
CUST0068,54,1076906,Suburban,Student,401977,25,9.04,Personal,2,14,0,9,-0.79,5.17,0.1,11,0,0
CUST0069,30,333515,Urban,Unemployed,237771,50,7.41,Education,1,57,1,7,0.15,32.22,0.84,14,0,1
CUST0070,56,1193497,Suburban,Salaried,287199,45,10.24,Auto,1,162,1,5,-0.2,61.32,0.55,18,1,0
CUST0071,34,1455564,Suburban,Unemployed,811019,44,12.7,Personal,1,87,2,5,-0.14,5.98,0.69,27,0,1
